,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
128,2021-01-25,33983,35967,33111,33790,64162,1.8998793727382384,28624.25,75.15003019294558,16978.499309297396,28624.25,40270.0006907026,81.36982237580095,0.721786904820317
129,2021-01-26,33741,34128,31950,32192,17920,-4.729209825392128,29386.7,66.89098594560886,18967.79233940524,29386.7,39805.60766059476,70.9090007424771,0.6346254373003944
130,2021-01-27,32240,33837,31659,32144,9029,-0.1491053677932405,30141.9,66.6540253343866,21349.59261456356,30141.9,38934.20738543644,58.33943703241295,0.6138552095731021
131,2021-01-28,30981,32046,30836,31127,5317,-3.163887506222001,30839.0,61.669292048283914,24359.90219243449,30839.0,37318.09780756551,42.01885798868646,0.5222253165914327
132,2021-01-29,32385,32385,29190,29288,9277,-5.908054100941305,31444.15,53.82986545815967,29518.362028804782,31444.15,33369.93797119522,12.248942783921455,-0.05980981090608086
133,2021-02-01,29045,30158,29045,29626,3309,1.154056268779022,31386.05,54.963058448030665,29319.607600609153,31386.05,33452.492399390845,13.16790357111421,0.0741352382919471
134,2021-02-02,30013,32966,29965,30401,19131,2.6159454533180315,31303.75,57.536577678002566,29218.136241414726,31303.75,33389.36375858528,13.325009039398001,0.28357689761973
135,2021-02-03,31417,31417,29965,30062,7014,-1.1150948981941382,31233.55,56.02841042003182,29081.063951264678,31233.55,33386.036048735325,13.783166170578262,0.22786118621109386
136,2021-02-04,30062,30546,30062,30062,2476,0.0,31177.9,56.02841042003182,28965.519209991147,31177.9,33390.28079000885,14.191980794144905,0.2478056207504101
137,2021-02-05,30788,30933,29965,30933,4671,2.897345485995609,31127.05,59.214099323724916,28941.402866997923,31127.05,33312.697133002075,14.043393980490125,0.4556081132516886
138,2021-02-08,31127,31272,30739,30982,4992,0.1584068793844761,31090.75,59.392337935806296,28920.844483623725,31090.75,33260.655516376275,13.958527963309184,0.47494130523673406
139,2021-02-09,30836,30836,28948,29868,30901,-3.5956361758440387,31020.55,53.65183302362713,28788.682846695352,31020.55,33252.41715330465,14.38960400963005,0.24179690796258663
140,2021-02-10,28997,29577,28900,29191,8392,-2.266639882148118,30914.05,50.45989690065131,28550.311734032257,30914.05,33277.78826596774,15.29232349671261,0.13552436731091244
141,2021-02-15,29190,29481,28900,29239,8173,0.1644342434311945,30826.9,50.68392134869351,28353.620161405066,30826.9,33300.17983859494,16.04624427752992,0.17898901385496196
142,2021-02-16,29239,29384,28803,28997,4728,-0.82766168473614,30749.45,49.469321355337726,28151.942542840312,30749.45,33346.95745715969,16.89465962584494,0.16266699347299235
143,2021-02-17,29142,29384,29045,29094,7240,0.3345173638652274,30691.35,49.98667775097345,28001.93614006691,30691.35,33380.76385993308,17.52554944590633,0.2030300870019797
144,2021-02-18,29529,29529,28900,28900,4328,-0.6668041520588437,30596.95,48.90815174547493,27797.44643865199,30596.95,33396.45356134801,18.29923284084205,0.19691947825512154
145,2021-02-19,28948,29142,28464,28900,3597,0.0,30485.6,48.908151745474925,27603.35050351289,30485.6,33367.849496487106,18.908924190352874,0.22493706704909974
146,2021-02-22,28512,28900,28367,28368,3166,-1.8408304498269896,30316.2,45.767547198237274,27355.3488656131,30316.2,33277.0511343869,19.53312838935552,0.17100676265451412
147,2021-02-23,28319,28367,27883,27980,3539,-1.3677382966723068,30057.2,43.57006681542502,27233.64871836898,30057.2,32880.75128163102,18.78785303774816,0.13216534909185226
148,2021-02-24,28028,29384,26237,26528,3136,-5.189421015010722,29694.1,36.506049145097215,27020.270020364012,29694.1,32367.929979635985,18.0091666670213,-0.09205335120653967
149,2021-02-25,27980,27980,26625,26819,3112,1.0969541616405307,29425.45,38.65274129474472,26729.895402148162,29425.45,32121.00459785184,18.32124638944749,0.016528064006354697
150,2021-02-26,26140,26431,25414,25850,7013,-3.6131101085051647,29110.75,34.47314964677867,26291.43519849234,29110.75,31930.06480150766,19.369578602458944,-0.07828767441228615
151,2021-03-02,25850,26625,25850,25947,2880,0.3752417794970986,28851.75,35.228193545900815,25873.65968068459,28851.75,31829.84031931541,20.644087927528915,0.012313313474701945
152,2021-03-03,26140,26770,25947,25996,1584,0.1888464947778163,28687.15,35.6316847582224,25469.44148150424,28687.15,31904.858518495763,22.433099966331692,0.08182197291473739
153,2021-03-04,26528,26528,25463,26044,1596,0.1846437913525157,28508.05,36.05193245014548,25124.81170067786,28508.05,31891.28829932214,23.735318966552537,0.135844451084972
154,2021-03-05,25269,25753,24930,25608,2762,-1.6740900015358624,28268.4,33.88769382050241,24778.130818403806,28268.4,31758.669181596197,24.69378657155124,0.11888326349898778
155,2021-03-08,25366,25608,24591,24979,1821,-2.456263667603874,28014.25,30.996738164386414,24347.611164499544,28014.25,31680.888835500456,26.176955196019573,0.08609913108803348
156,2021-03-09,24688,24688,23042,24108,6887,-3.4869290203771173,27716.55,27.498419682760698,23804.665417091124,27716.55,31628.434582908874,28.227788688771692,0.03877090140058738
157,2021-03-10,24301,24688,23623,24108,860,0.0,27375.3,27.498419682760698,23454.55373940112,27375.3,31296.04626059888,28.644407627305494,0.08333187321577262
158,2021-03-11,24543,24543,23672,24253,963,0.6014600962336154,27038.85,29.044557756758294,23261.608769948616,27038.85,30816.09123005138,27.93936302802362,0.131232183711748
159,2021-03-12,24495,24543,24301,24447,2234,0.7999010431699172,26767.8,31.159805789681815,23064.234388322508,26767.8,30471.36561167749,27.671796798223923,0.1866803179235676
160,2021-03-15,24543,24785,24301,24640,2481,0.7894629197856587,26540.25,33.29041637828259,22901.512698407583,26540.25,30178.987301592417,27.420520165352,0.23888606919103564
161,2021-03-16,24737,27932,24737,25754,37038,4.521103896103896,26366.0,44.053723792387075,22932.93367381286,26366.0,29799.06632618714,26.041616674407503,0.4108668546057914
162,2021-03-17,25608,26092,24204,25560,6535,-0.7532810437213637,26194.15,42.759841342681334,22967.183977557237,26194.15,29421.116022442766,24.638829833705344,0.40174207047895105
163,2021-03-18,26140,26140,25269,25657,1122,0.3794992175273865,26022.3,43.65099609737831,23077.63362840541,26022.3,28966.96637159459,22.631868601888307,0.43797259962557616
164,2021-03-19,25656,25656,24495,25270,1628,-1.5083602915383716,25840.8,40.91415371690328,23195.75734627964,25840.8,28485.84265372036,20.47183255719916,0.3921000386898968
165,2021-03-22,25366,25560,24446,25028,2814,-0.957657301147606,25647.2,39.256637413554024,23387.395884595295,25647.2,27907.004115404707,17.622228667493573,0.36299697487516325
166,2021-03-23,25172,25172,24349,24398,2262,-2.5171807575515426,25448.7,35.25270655683492,23504.309288234475,25448.7,27393.090711765526,15.280864733880515,0.22981253365329155
167,2021-03-24,24640,24930,22219,23430,16239,-3.967538322813345,25221.2,30.162250366277668,23458.484980491732,25221.2,26983.91501950827,13.978042436587224,-0.008079859811848195
168,2021-03-25,23430,23720,23236,23575,2093,0.6188647033717456,25073.55,31.752009879878425,23278.99941837795,25073.55,26868.10058162205,14.31429200589506,0.08247206421858093
169,2021-03-26,23429,23768,23284,23333,2085,-1.026511134676564,24899.25,30.503966838619267,23139.854208826215,24899.25,26658.645791173785,14.132118768025423,0.054889807098187825
170,2021-03-29,22994,23478,22655,22704,3062,-2.695752796468521,24741.95,27.48051426432651,22797.846147321336,24741.95,26686.053852678666,15.715041479581561,-0.0241360941680226
171,2021-03-30,22849,23720,22655,23140,2791,1.920366455250176,24601.6,32.476512032374984,22620.800424071116,24601.6,26582.39957592888,16.103014242397915,0.13105807933278882
172,2021-03-31,23187,23575,23042,23188,2420,0.2074330164217804,24461.2,33.02356450085051,22497.657018550388,24461.2,26424.742981449614,16.054347141183694,0.175790137514575
173,2021-04-01,24688,24688,23333,23963,4087,3.342245989304813,24357.15,41.293555571235814,22523.905632764683,24357.15,26190.39436723532,15.053028513067565,0.39249932877349797
174,2021-04-02,23817,24543,23817,24301,2412,1.4105078662938697,24291.8,44.51154997776713,22550.70613693574,24291.8,26032.89386306426,14.334827909535397,0.5026420172384644
175,2021-04-05,24156,24446,23575,24156,1590,-0.5966832640632073,24250.65,43.41217206396997,22537.79445734615,24250.65,25963.505542653853,14.126265008598544,0.4723706997925367
176,2021-04-06,24156,24349,23672,24108,2431,-0.1987083954297069,24250.65,43.03326170934052,22537.79445734615,24250.65,25963.505542653853,14.126265008598544,0.4583590103053923
