rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,ord,currency,thstrm_add_amount,연결구분
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),-,제 1 기,-37956387934,24,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,-,제 1 기,132602665958,25,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,-,제 1 기,94646278024,26,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member],제 1 기,126834583582,1,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member],제 1 기,3946985000,1,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member],제 1 기,6268895616,1,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member],제 1 기,120350683,1,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_EquityAtBeginningOfPeriod,기초자본,연결재무제표 [member],제 1 기,137170814881,1,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_ProfitLoss,당기순이익(손실),연결재무제표 [member],제 1 기,4493418770,3,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_ProfitLoss,당기순이익(손실),자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member],제 1 기,4493418770,3,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_OtherComprehensiveIncomeForStatementOfChangesInEquity,확정급여제도의 재측정요소,연결재무제표 [member],제 1 기,-166418901,4,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_OtherComprehensiveIncomeForStatementOfChangesInEquity,확정급여제도의 재측정요소,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member],제 1 기,-166418901,4,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_OtherTransactions,재평가잉여금,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member],제 1 기,16515700,5,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_OtherTransactions,재평가잉여금,연결재무제표 [member],제 1 기,16515700,5,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_AmountRemovedFromReserveOfCashFlowHedgesAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied,파생상품평가손익,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member],제 1 기,1376895725,6,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,ifrs-full_AmountRemovedFromReserveOfCashFlowHedgesAndIncludedInInitialCostOrOtherCarryingAmountOfNonfinancialAssetLiabilityOrFirmCommitmentForWhichFairValueHedgeAccountingIsApplied,파생상품평가손익,연결재무제표 [member],제 1 기,1376895725,6,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_ChangesInForeignExchangeRates,해외사업환산손익,연결재무제표 [member],제 1 기,-2574457929,7,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,dart_ChangesInForeignExchangeRates,해외사업환산손익,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member],제 1 기,-2574457929,7,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member],제 1 기,4326999869,8,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계,자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member],제 1 기,-1181046504,8,KRW,,연결
20200330003444,11011,2019,01412822,SCE,자본변동표,-표준계정코드 미사용-,소계,연결재무제표 [member],제 1 기,3145953365,8,KRW,,연결
