,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
926,2023-05-11,72400,73400,72400,73200,3834,0.411522633744856,77815.0,34.1671540358233,68900.00701065894,77815.0,86729.99298934106,22.91330203518874,0.24116636964730176
927,2023-05-12,73700,73700,71300,71300,5227,-2.5956284153005464,77425.0,29.51942549588508,68096.14690864948,77425.0,86753.85309135052,24.097780022862185,0.1717174158483134
928,2023-05-15,72000,72300,71400,72200,1758,1.262272089761571,77005.0,34.09281610709008,67530.51320651086,77005.0,86479.48679348914,24.60745871953545,0.246424259976699
929,2023-05-16,72100,72300,70900,71800,3521,-0.554016620498615,76550.0,33.065862370537396,66993.74550359817,76550.0,86106.25449640183,24.967353354413664,0.2514716669701244
930,2023-05-17,71200,72200,71100,72100,1264,0.4178272980501393,76065.0,34.65566028931199,66640.08090220398,76065.0,85489.91909779602,24.78122421033596,0.28965336684284126
931,2023-05-18,72100,73600,71800,73300,7311,1.6643550624133148,75425.0,40.7208057156232,67143.72594343116,75425.0,83706.27405656884,21.9589633584855,0.3716984859162815
932,2023-05-19,72600,73000,71800,72900,3040,-0.5457025920873124,74810.0,39.40776416658644,67793.47664437721,74810.0,81826.52335562279,18.758249847942228,0.3638927070292302
933,2023-05-22,73300,73300,72700,72900,4739,0.0,74180.0,39.407764166586446,69128.42598787267,74180.0,79231.57401212733,13.619773556557904,0.3733068151701726
934,2023-05-23,73400,73400,72200,72500,3371,-0.5486968449931412,73640.0,37.98717508783796,70762.22308022318,73640.0,76517.77691977682,7.815798261208097,0.30193044287664766
935,2023-05-24,72600,73800,72500,73800,2519,1.793103448275862,73475.0,44.934737179349625,71070.10915008598,73475.0,75879.89084991402,6.54614726073909,0.5675706342372293
936,2023-05-25,73300,73300,72100,72300,1959,-2.032520325203252,73375.0,39.44362481649865,70949.40728892913,73375.0,75800.59271107087,6.611496316377165,0.2784046771138673
937,2023-05-26,72300,72800,71800,72400,1734,0.1383125864453665,73235.0,39.97029382906217,70926.51564874263,73235.0,75543.48435125737,6.3043199324294985,0.3191454060441871
938,2023-05-30,73000,73000,71200,72100,2593,-0.4143646408839779,73060.0,38.87788190992254,70975.3897246727,73060.0,75144.6102753273,5.706570696214894,0.2697411330640035
939,2023-05-31,71500,72500,71000,71200,7273,-1.248266296809986,72855.0,35.72353499788061,70888.81079242099,72855.0,74821.18920757901,5.397540889654819,0.07913511232273011
940,2023-06-01,72000,72000,69800,70300,6668,-1.2640449438202246,72610.0,32.85297733011926,70652.55268270122,72610.0,74567.44731729878,5.391674197214649,-0.09005419445661876
941,2023-06-02,70700,71200,70400,71000,2536,0.995732574679943,72435.0,37.08735879960724,70560.67345427746,72435.0,74309.32654572254,5.175195818934315,0.11719583941366497
942,2023-06-05,71000,71400,70500,71000,4535,0.0,72295.0,37.08735879960724,70431.15987810108,72295.0,74158.84012189892,5.156207543810544,0.15259895825167966
943,2023-06-07,71600,71600,70400,70700,2965,-0.4225352112676055,72155.0,35.960218134075966,70253.9739612514,72155.0,74056.0260387486,5.269284287294311,0.1173119225242733
944,2023-06-08,71100,71100,69900,71000,7139,0.4243281471004243,72045.0,37.98977038051844,70143.9739612514,72045.0,73946.0260387486,5.277329554441266,0.22514842545557773
945,2023-06-09,71300,71300,70300,70900,7274,-0.1408450704225352,71945.0,37.56243625766668,70024.08875790676,71945.0,73865.91124209324,5.339943685018378,0.22799367896320574
946,2023-06-12,70100,70500,69900,70200,2630,-0.9873060648801129,71795.0,34.62621580767095,69821.70326610512,71795.0,73768.29673389488,5.497031085437371,0.09585399078530894
947,2023-06-13,70200,70300,69300,69700,7303,-0.7122507122507122,71715.0,32.662234086677515,69547.72059946111,71715.0,73882.27940053889,6.0441452988604505,0.035131464937336244
948,2023-06-14,69800,69800,68700,69600,4607,-0.1434720229555237,71585.0,32.268031417894505,69244.67950912697,71585.0,73925.32049087303,6.538577888867851,0.07591278465037885
949,2023-06-15,69700,69700,68200,68800,12835,-1.1494252873563218,71435.0,29.228828151045317,68802.6816301974,71435.0,74067.3183698026,7.369828150913689,-0.0005093666154075882
