rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,연결구분
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_ProfitLoss,분기순이익,-,제 72 기 3분기,-295199439000,,,19,KRW,164149863000,제 71 기 3분기,356856024000,403394594000,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,-,제 72 기 3분기,3646474585000,,,2,KRW,,제 71 기 3분기,4021275506000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,분기말의 현금및현금성자산,-,제 72 기 3분기,2960271045000,,,3,KRW,,제 71 기 3분기,3767435971000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,-표준계정코드 미사용-,처분집단으로 분류된 현금및현금성자산,-,제 72 기 3분기,9762211000,,,8,KRW,,제 71 기 3분기,0,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동 현금흐름,-,제 72 기 3분기,-2649747962000,,,9,KRW,,제 71 기 3분기,-1826354077000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_DecreaseInGuaranteeDepositsAsFinancialActivities,예수보증금의 감소,-,제 72 기 3분기,26615187000,,,10,KRW,,제 71 기 3분기,15257941000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_IncreaseInGuaranteeDepositsAsFinancialActivities,예수보증금의 증가,-,제 72 기 3분기,25025118000,,,11,KRW,,제 71 기 3분기,12835647000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,-표준계정코드 미사용-,유동성장기차입금의 감소,-,제 72 기 3분기,1114978475000,,,12,KRW,,제 71 기 3분기,1055219070000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,-표준계정코드 미사용-,유동성사채의 감소,-,제 72 기 3분기,1344039785000,,,13,KRW,,제 71 기 3분기,935625688000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,-표준계정코드 미사용-,단기차입금의 순증감,-,제 72 기 3분기,598875401000,,,14,KRW,,제 71 기 3분기,-1195038620000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,-,제 72 기 3분기,100705769000,,,15,KRW,,제 71 기 3분기,83940300000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_DividendsPaidToNoncontrollingInterests,비지배지분에 대한 배당,-,제 72 기 3분기,129153987000,,,16,KRW,,제 71 기 3분기,165158793000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsFinancingActivities,이자의 지급,-,제 72 기 3분기,711567264000,,,17,KRW,,제 71 기 3분기,619238277000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,기타 재무활동으로 인한 현금의 변동,-,제 72 기 3분기,-2127719000,,,18,KRW,,제 71 기 3분기,-35416357000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_PaymentsFromChangesInOwnershipInterestsInSubsidiaries,비지배지분의 감소,-,제 72 기 3분기,1131998024000,,,19,KRW,,제 71 기 3분기,47015446000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채 원금의 지급,-,제 72 기 3분기,588956215000,,,20,KRW,,제 71 기 3분기,533736184000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_ProceedsFromChangesInOwnershipInterestsInSubsidiaries,비지배지분의 증가,-,제 72 기 3분기,415434003000,,,21,KRW,,제 71 기 3분기,336825728000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_ProceedsFromIssueOfBondsNotesAndDebentures,사채의 발행,-,제 72 기 3분기,1080038964000,,,22,KRW,,제 71 기 3분기,1182073199000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_ProceedsFromNoncurrentBorrowings,장기차입금의 차입,-,제 72 기 3분기,714830490000,,,23,KRW,,제 71 기 3분기,1457590025000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_RepaymentsOfNoncurrentBorrowings,장기차입금의 상환,-,제 72 기 3분기,333809513000,,,24,KRW,,제 71 기 3분기,130032000000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,-,제 72 기 3분기,-1423345123000,,,25,KRW,,제 71 기 3분기,-2047417004000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,공정가치금융자산의 처분,-,제 72 기 3분기,21336976000,,,26,KRW,,제 71 기 3분기,177710650000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정자산의처분,-,제 72 기 3분기,0,,,27,KRW,,제 71 기 3분기,16325347000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_ProceedsFromSalesOfOtherFinancialAssets,기타금융자산의 처분,-,제 72 기 3분기,979349407000,,,28,KRW,,제 71 기 3분기,1075823101000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,dart_PurchaseOfOtherFinancialAssets,기타금융자산의 취득,-,제 72 기 3분기,1132506931000,,,29,KRW,,제 71 기 3분기,1116530055000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,-표준계정코드 미사용-,기타자산의 취득,-,제 72 기 3분기,151796600000,,,30,KRW,,제 71 기 3분기,158326075000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_DividendsReceivedClassifiedAsInvestingActivities,배당금의 수취,-,제 72 기 3분기,8047893000,,,31,KRW,,제 71 기 3분기,8612352000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_InterestReceivedClassifiedAsInvestingActivities,이자의 수취,-,제 72 기 3분기,95284032000,,,32,KRW,,제 71 기 3분기,78392437000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,기타 투자활동으로 인한 현금의 변동,-,제 72 기 3분기,-2487718000,,,33,KRW,,제 71 기 3분기,-20829797000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,-,제 72 기 3분기,5823999000,,,34,KRW,,제 71 기 3분기,17865243000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfInvestmentProperty,투자부동산의처분,-,제 72 기 3분기,90481000,,,35,KRW,,제 71 기 3분기,6306264000,,,,연결
20241114002720,11014,2024,00148540,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfInvestmentsAccountedForUsingEquityMethod,공동기업 및 관계기업 투자주식의 처분,-,제 72 기 3분기,321908561000,,,36,KRW,,제 71 기 3분기,3106449000,,,,연결
