,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
815,2021-02-01,11150,11350,11100,11250,8157,0.8968609865470852,11425.0,51.96233608101336,11092.584597227986,11425.0,11757.415402772014,5.819088013514472,0.23677513355176405
816,2021-02-02,11250,11550,11250,11350,5652,0.8888888888888888,11415.0,53.72962383611435,11086.214355544405,11415.0,11743.785644455595,5.760589477978004,0.40115140199075994
817,2021-02-03,11400,11950,11350,11550,10541,1.762114537444934,11410.0,57.12685725720492,11092.824969456798,11410.0,11727.175030543202,5.559597380248931,0.7206983313917125
818,2021-02-04,11600,11850,11500,11750,11619,1.7316017316017316,11417.5,60.26840082229939,11076.50879776733,11417.5,11758.49120223267,5.973132511191939,0.9875492356150644
819,2021-02-05,11750,12000,11650,11950,20396,1.702127659574468,11435.0,63.1743801203522,11028.6750069217,11435.0,11841.3249930783,7.106689865820733,1.1337291684894677
820,2021-02-08,12050,12150,11850,12000,25057,0.4184100418410041,11470.0,63.885532035339,11000.532216227695,11470.0,11939.467783772305,8.1860119227952,1.0644689777659524
821,2021-02-09,12150,12200,11950,12050,7627,0.4166666666666667,11515.0,64.62129667589421,11005.981336294946,11515.0,12024.018663705054,8.84096680338782,1.025521005561793
822,2021-02-10,12150,12150,11900,12050,15708,0.0,11547.5,64.6212966758942,10991.195227415692,11547.5,12103.804772584308,9.635068587734281,0.951640921275618
823,2021-02-15,12050,12100,11650,11750,22310,-2.4896265560165975,11560.0,56.59757052522233,10997.327804134522,11560.0,12122.672195865478,9.734813077257405,0.6688372034340085
824,2021-02-16,11750,12000,11750,11950,11799,1.702127659574468,11595.0,60.14997532784866,11026.757094192915,11595.0,12163.242905807085,9.801516270928586,0.8123664161682649
825,2021-02-17,12050,12050,11750,11900,8947,-0.4184100418410041,11627.5,58.85308768192249,11067.61161826657,11627.5,12187.38838173343,9.63041723041806,0.7433520759587228
826,2021-02-18,11900,12100,11850,12050,8607,1.2605042016806722,11667.5,61.53265718091137,11106.897645384826,11667.5,12228.102354615174,9.609639676283242,0.8411509038903053
827,2021-02-19,11900,12150,11750,12000,14306,-0.4149377593360996,11697.5,60.127059068216255,11133.164107113435,11697.5,12261.835892886565,9.648829115393298,0.7680141417664569
828,2021-02-22,12000,12150,11850,12000,22753,0.0,11722.5,60.127059068216255,11151.120091357705,11722.5,12293.879908642295,9.748430942926765,0.7428331796434632
829,2021-02-23,11950,12100,11900,12100,8053,0.8333333333333334,11752.5,62.133428239971586,11168.14137723477,11752.5,12336.85862276523,9.94441391644723,0.7973345360727313
830,2021-02-24,12100,12250,11950,12000,26779,-0.8264462809917356,11770.0,58.939510093570135,11178.054056521985,11770.0,12361.945943478015,10.058554689515967,0.6942744962898308
831,2021-02-25,12100,12200,12000,12100,9764,0.8333333333333334,11795.0,61.09331977163125,11191.75875472571,11795.0,12398.24124527429,10.228762107236797,0.75280101649989
832,2021-02-26,11800,12100,11800,12100,15163,0.0,11820.0,61.09331977163124,11209.754147904245,11820.0,12430.245852095755,10.325648935630376,0.7294157338705388
833,2021-03-02,12150,12400,12150,12300,31035,1.6528925619834711,11867.5,65.3136043188901,11263.120152552987,11867.5,12471.879847447013,10.185461932959987,0.857804782726411
834,2021-03-03,12300,12400,12150,12400,23817,0.8130081300813009,11930.0,67.2277646465983,11379.182425843117,11930.0,12480.817574156883,9.234158829117904,0.9266385297522618
835,2021-03-04,12450,12550,12250,12500,16783,0.8064516129032258,11992.5,69.06615497188129,11482.328460221395,11992.5,12502.671539778605,8.50817660668926,0.9973817240179998
836,2021-03-05,12400,12500,12200,12450,16258,-0.4,12047.5,67.0411422603402,11592.005762934292,12047.5,12502.994237065708,7.561639129540704,0.9418277633904912
837,2021-03-08,12550,13250,12500,12800,80769,2.8112449799196786,12110.0,73.00726393834493,11604.431013609348,12110.0,12615.568986390652,8.349611666237024,1.1823994534613707
838,2021-03-09,13000,13000,12650,12850,23421,0.390625,12165.0,73.73861226133928,11593.073431286786,12165.0,12736.926568713214,9.402820694010913,1.0988531023669628
839,2021-03-10,12850,12950,12650,12750,10119,-0.7782101167315175,12205.0,69.67272937736836,11588.639715750545,12205.0,12821.360284249455,10.10012755836878,0.9421115489811689
840,2021-03-11,12700,12800,12650,12750,9969,0.0,12242.5,69.67272937736837,11590.368878215379,12242.5,12894.631121784621,10.653561311572332,0.8891088640357908
